Key,Context,Example,Source,de,en-us,es,es-es,fr,id,it,ja,ko,pt,pt-br,ru,th-th,zh-cn,zh-tw,zh-cjv,pl,vi,tr,ar
,,,"Disconnected from experience, possibly due to experience joined from another device",Verbindung zur Experience wurde unterbrochen. Möglicher Grund: Experience-Beitritt von einem anderen Gerät,"Disconnected from experience, possibly due to experience joined from another device","Desconexión de la experiencia, posiblemente por conectarse a otra desde un dispositivo diferente","Desconexión de la experiencia, posiblemente por conectarse a otra desde un dispositivo diferente","Déconnexion de l'expérience, peut-être due au fait que l'expérience a été rejointe depuis un autre appareil",Koneksi dengan pengalaman virtual terputus. Kemungkinan karena bergabung ke pengalaman virtual dari perangkat lain,"Disconnesso dall'esperienza, probabilmente a causa di un' altra esperienza iniziata su un altro dispositivo",他のデバイスから参加したバーチャル空間があるために、このバーチャル空間への接続から切断された可能性があります,체험 연결이 끊어졌습니다. 다른 기기에서 체험에 참가한 것 같아요.,"Você foi desconectado(a) da experiência, provavelmente porque entrou em uma experiência através de outro dispositivo","Você foi desconectado(a) da experiência, provavelmente porque entrou em uma experiência através de outro dispositivo","Соединение прервано, возможно, из-за подключения к плейсу с другого устройства.",ยกเลิกการเชื่อมต่อกับประสบการณ์แล้ว เนื่องจากอาจมีการเข้าร่วมประสบการณ์จากอุปกรณ์อื่น,已断开连接，您可能同时从其他设备加入体验,連線中斷，您可能從其他裝置加入體驗,已断开连接，您可能同时从其他设备加入体验,"Rozłączono z projektem, prawdopodobnie przez dołączenie do projektu z innego urządzenia","Mất kết nối khỏi trải nghiệm, có thể do bạn tham gia trải nghiệm trên một thiết bị khác",Muhtemelen başka bir cihazdan katılınan deneyim nedeniyle deneyimle bağlantı kesildi,انقطع الاتصال بالتجربة ربما بسبب انضمامك إلى التجربة من جهاز آخر
,,,Dismiss,Verwerfen,Dismiss,Descartar,Descartar,Rejeter,Tutup,Ignora,却下,취소,Dispensar,Dispensar,Отклонить,ปิด,关闭,關閉,关闭,Odrzuć,Bỏ qua,Kapat,تجاهل
,,,Do you allow experience to create new place in your inventory?,"Erlaubst du der Experience, mehr Platz in deinem Inventar zu schaffen?",Do you allow experience to create new place in your inventory?,¿Quieres permitir que la experiencia cree un espacio nuevo en tu inventario?,¿Quieres permitir que la experiencia cree un espacio nuevo en tu inventario?,Permets-tu à l'expérience de créer une nouvelle place dans ton inventaire ?,Apakah kamu mengizinkan pengalaman virtual untuk membuat tempat baru di inventaris kamu?,Consenti all'esperienza di creare un nuovo spazio nel tuo inventario?,バーチャル空間があなたの持ち物リスト内に新しい場所を作成できるようにしていいですか？,체험 인벤토리에 새로운 공간을 만들까요?,Você permite que a experiência crie um novo espaço em seu inventário?,Você permite que a experiência crie um novo espaço em seu inventário?,Разрешить плейсу создать новое место в инвентаре?,คุณอนุญาตให้ประสบการณ์สร้างสถานที่ใหม่ในคลังไอเท็มของคุณได้หรือไม่?,是否允许作品在你的物品栏中创建新场景？,您要允許體驗在您的道具欄創作新空間嗎？,是否允许作品在你的物品栏中创建新场景？,Czy zezwalasz na utworzenie przez projekt nowego miejsca w twoim wyposażeniu?,Bạn có cho phép trải nghiệm tạo địa điểm mới trong kho đồ của bạn không?,"Deneyimin, envanterinde yeni bir dünya yaratmasına izin veriyor musun?",هل تسمح للتجربة بإنشاء مكان جديد في مقتنياتك؟
,,,Don't Reset,Nicht zurücksetzen,Don't Reset,No reiniciar,No reiniciar,Ne pas réinitialiser,Jangan Reset,Non azzerare,リセットしない,재설정 취소,Não reiniciar,Não reiniciar,Не сбрасывать,ไม่ต้องรีเซ็ต,不要重置,不要重設,不要重置,Nie resetuj,Không Đặt Lại,Sıfırlama,عدم إعادة التعيين
,,,Drop Tool,Werkzeug ablegen,Drop Tool,Soltar herramienta,Soltar herramienta,Lâcher outil,Jatuhkan Alat,Lascia strumento,ツールを手放す,도구 드롭,Largar ferramenta,Largar ferramenta,Выбросить,ละทิ้งอุปกรณ์,丢弃工具,捨棄工具,丢弃工具,Upuszczenie narzędzia,Thả Công Cụ,Aleti Bırak,ترك الأداة
,,,ESC,ESC,ESC,ESC,ESC,ÉCHAP,ESC,ESC,Esc キー,ESC,ESC,ESC,ESC,ESC,ESC,ESC,ESC,ESC,ESC,ÇIKIŞ,ESC
,,,Account: <13,Konto: <13,Account: <13,Cuenta: <13,Cuenta: <13,Compte : <13,Akun: < 13,Account: più di 13 anni,アカウント: <13,계정: 만 13세 미만,Conta: <13,Conta: <13,Аккаунт: <13,บัญชี: ตำ่กว่า 13 ปี,帐户：<13,帳號：<13,帐户：<13,Konto: <13,Tài khoản: 13,Hesap: <13,الحساب: أصغر من 13
,,,English text,English text,English text,Texto en inglés,Texto en inglés,Texte en français,Teks Inggris,Italian text,英文テキスト,한국어 텍스트,English text,English text,Текст на русском,English text,English text,English text,English text,Tekst w języku angielskim,Văn bản tiếng Anh,İngilizce metin,English text
,,,Equip Tools,Werkzeuge ausrüsten,Equip Tools,Equipar herramientas,Equipar herramientas,Prendre outils,Pasang Alat,Equipaggia strum.,ツールをつける,도구 장착,Equipar ferramentas,Equipar ferramentas,Назначить,ใช้อุปกรณ์,配备工具,裝上工具,配备工具,Załóż narzędzia,Trang Bị Công Cụ,Aletleri Donan,تثبيت الأدوات
,,,Equip/Unequip Tools,Werkzeug-Ausrüstung hinzufügen/abnehmen,Equip/Unequip Tools,Equipar/desequipar herramientas,Equipar/desequipar herramientas,Prendre/Lâcher outils,Pasang/Lepas Alat,Equipaggia/Rimuovi,ツールをつける/外す,도구 장착/해제,Trocar/desequipar ferramentas,Trocar/desequipar ferramentas,Назначить/убрать предметы,ใช้/เลิกใช้อุปกรณ์,配备/取消配备工具,裝上 / 卸下工具,配备/取消配备工具,Wzięcie/odłożenie narzędzia,Trang Bị/Không Trang Bị Công Cụ,Aletleri Donan/Bırak,استعمال/ترك الأدوات
,,,Error Blocking User,Fehler beim Blockieren des Benutzers,Error Blocking User,Error al bloquear usuario,Error al bloquear usuario,Utilisateur bloqué par une erreur,Eror Saat Memblokir Pengguna,Errore durante il blocco dell'utente,ユーザーのブロックエラー,사용자 차단 오류,Erro ao bloquear usuário,Erro ao bloquear usuário,Ошибка блокировки пользователя,เกิดข้อผิดพลาดในการบล็อคผู้ใช้,屏蔽用户时出错,封鎖使用者時發生錯誤,屏蔽用户时出错,Błąd blokowania użytkownika,Lỗi khi Chặn Người Dùng,Kullanıcı Engellenirken Hata Oluştu,خطأ في حظر المستخدم
,,,Error Unblocking User,Fehler beim Aufheben der Blockierung des Benutzers,Error Unblocking User,Error al desbloquear usuario,Error al desbloquear usuario,Erreur de déblocage de l'utilisateur,Eror Saat Membuka Blokir Pengguna,Errore durante lo sblocco dell'utente,ユーザーのブロック解除エラー,사용자 차단 해제 오류,Erro ao desbloquear usuário,Erro ao desbloquear usuário,Ошибка разблокировки пользователя,เกิดข้อผิดพลาดในการเลิกบล็อคผู้ใช้,取消屏蔽用户时出错,封鎖使用者時發生錯誤,取消屏蔽用户时出错,Błąd odblokowywania użytkownika,Lỗi khi Bỏ Chặn Người Dùng,Kullanıcı Engeli Kaldırılırken Hata Oluştu,خطأ في إلغاء حظر المستخدم
,,,"Error processing ticket, please reconnect",Fehler bei der Ticketbearbeitung. Bitte erneut verbinden.,"Error processing ticket, please reconnect",Error al procesar un tique. Conéctate de nuevo.,Error al procesar un tique. Conéctate de nuevo.,"Erreur lors du traitement du ticket, veuillez vous reconnecter.",Terjadi eror saat memproses tiket. Hubungkan kembali.,Errore di elaborazione della richiesta; è necessario riconnettersi,チケットの処理中にエラーが発生しました。再接続してください,티켓 처리 중 오류가 발생했어요. 다시 연결하세요.,Erro ao processar o ticket. Conecte-se novamente,Erro ao processar o ticket. Conecte-se novamente,Сообщение об ошибке процесса. Установи соединение повторно.,เกิดข้อผิดพลาดในการประมวลผลตั๋ว โปรดเชื่อมต่ออีกครั้ง,处理票单时出错，请重新连接,處理票券時發生錯誤，請重新連線。,处理票单时出错，请重新连接,Błąd przetwarzania biletu. Połącz ponownie.,"Lỗi khi xử lý biên bản, vui lòng kết nối lại","Bilet işlenirken hata oluştu, lütfen yeniden bağlan",خطأ في معالجة التذكرة، الرجاء إعادة الاتصال
,,,"Error while receiving data, please reconnect",Fehler beim Datenempfang. Bitte erneut verbinden,"Error while receiving data, please reconnect",Error al recibir los datos. Conéctate de nuevo.,Error al recibir los datos. Conéctate de nuevo.,"Erreur lors de la réception des données, veuillez vous reconnecter.",Terjadi eror saat menerima data. Hubungkan kembali.,Errore di ricezione dei dati; è necessario riconnettersi,データを受信中にエラーが発生しました。再接続してください,데이터 수신 중 오류가 발생했어요. 다시 연결하세요.,Erro ao receber os dados. Conecte-se novamente.,Erro ao receber os dados. Conecte-se novamente.,Ошибка при получении данных. Установи соединение повторно.,เกิดข้อผิดพลาดขณะรับข้อมูล โปรดเชื่อมต่ออีกครั้ง,接收数据时出错，请重新连接,接收資料時發生錯誤，請重新連線。,接收数据时出错，请重新连接,Błąd podczas odbierania danych. Połącz ponownie.,"Lỗi khi nhận dữ liệu, vui lòng kết nối lại","Veri alınırken hata oluştu, lütfen yeniden bağlan",حدثت مشكلة في تلقي البيانات، الرجاء إعادة الاتصال
,,,"Error while sending data, please reconnect",Fehler beim Senden der Daten. Bitte erneut verbinden.,"Error while sending data, please reconnect",Error al enviar los datos. Conéctate de nuevo.,Error al enviar los datos. Conéctate de nuevo.,"Erreur lors de l'envoi des données, veuillez vous reconnecter.",Terjadi eror saat mengirim data. Hubungkan kembali.,Errore durante l'invio dei dati; è necessario riconnettersi,データを送信中にエラーが発生しました。再接続してください,데이터 전송 중 오류가 발생했어요. 다시 연결하세요.,Erro ao enviar os dados. Conecte-se novamente.,Erro ao enviar os dados. Conecte-se novamente.,Ошибка при отправке данных. Установи соединение повторно,เกิดข้อผิดพลาดขณะส่งข้อมูล โปรดเชื่อมต่ออีกครั้ง,发送数据时出错，请重新连接,傳送資料時發生錯誤，請重新連線。,发送数据时出错，请重新连接,Błąd podczas wysyłania danych. Połącz ponownie.,"Lỗi khi gửi dữ liệu, vui lòng kết nối lại","Veri gönderilirken hata oluştu, lütfen yeniden bağlan",حدثت مشكلة في إرسال البيانات، الرجاء إعادة الاتصال
